Date, Bed Time, Sleep Onset Time, Ring Time, Wake Time, Time In Bed, Total Sleep Time, Total Awake Time, Sleep Onset Latency, Halfway Awakening, Snooze, Sleep Efficiency
1/21/2014, 12:38 AM, 1:01 AM, 6:22 AM, 6:23 AM, 5h 44m 39s, 5h 17m 39s, 27m 00s, 22m 20s,1,0,92.20%
1/22/2014, 12:49 AM, 12:56 AM, 6:05 AM, 6:27 AM, 5h 38m 12s, 5h 10m 12s, 28m 00s, 6m 59s,1,2,91.70%
1/23/2014, 12:47 AM, 12:52 AM, 6:39 AM, 6:43 AM, 5h 56m 45s, 5h 39m 45s, 17m 00s, 4m 47s,0,0,95.20%
1/24/2014, 12:25 AM, 12:31 AM, 7:02 AM, 7:14 AM, 6h 48m 39s, 6h 35m 39s, 13m 00s, 5m 16s,2,0,96.80%
1/26/2014, 12:49 AM, 1:01 AM, -, 7:42 AM, 6h 52m 49s, 6h 30m 49s, 22m 00s, 12m 01s,5,0,94.70%
1/27/2014, 12:42 AM, 1:00 AM, 6:29 AM, 6:48 AM, 6h 05m 26s, 5h 24m 26s, 41m 00s, 17m 13s,1,2,88.80%
1/28/2014, 1:09 AM, 1:21 AM, 8:00 AM, 8:00 AM, 6h 50m 49s, 6h 35m 49s, 15m 00s, 11m 15s,1,0,96.30%
1/29/2014, 1:23 AM, 1:38 AM, 7:46 AM, 7:47 AM, 6h 24m 02s, 6h 07m 02s, 17m 00s, 14m 58s,0,0,95.60%
1/30/2014, 12:26 AM, 12:33 AM, 5:56 AM, 5:58 AM, 5h 32m 43s, 5h 14m 43s, 18m 00s, 6m 58s,2,0,94.60%
1/31/2014, 1:05 AM, 1:45 AM, 7:04 AM, 7:08 AM, 6h 03m 19s, 5h 17m 19s, 46m 00s, 39m 33s,2,0,87.30%
2/3/2014, 12:40 AM, 1:01 AM, 6:45 AM, 7:16 AM, 6h 36m 52s, 5h 14m 52s, 1h 22m 00s, 21m 58s,5,3,79.30%
2/4/2014, 12:26 AM, 12:49 AM, 6:11 AM, 7:03 AM, 6h 37m 14s, 5h 35m 14s, 1h 02m 00s, 23m 14s,1,6,84.40%
2/5/2014, 1:25 AM, 1:32 AM, 7:45 AM, 7:48 AM, 6h 22m 30s, 6h 12m 30s, 10m 00s, 6m 29s,1,0,97.40%
2/6/2014, 2:18 AM, 2:33 AM, -, 7:40 AM, 5h 22m 51s, 4h 57m 51s, 25m 00s, 14m 56s,2,0,92.30%
2/7/2014, 1:50 AM, 2:11 AM, -, 7:18 AM, 5h 27m 41s, 4h 53m 41s, 34m 00s, 20m 36s,2,0,89.60%
2/9/2014, 11:21 PM, 11:50 PM, 6:00 AM, 6:02 AM, 6h 40m 36s, 6h 07m 36s, 33m 00s, 29m 21s,1,0,91.80%
2/11/2014, 12:21 AM, 12:38 AM, 6:00 AM, 6:38 AM, 6h 16m 19s, 4h 48m 19s, 1h 28m 00s, 16m 07s,11,3,76.60%
2/12/2014, 1:30 AM, 1:40 AM, 8:00 AM, 8:27 AM, 6h 56m 13s, 6h 21m 13s, 35m 00s, 9m 10s,0,2,91.60%
2/13/2014, 11:15 PM, 11:33 PM, 5:00 AM, 5:23 AM, 6h 08m 22s, 5h 31m 22s, 37m 00s, 17m 39s,2,2,90.00%
